Month of Date,Date,ASX200,10 AED,10 CNY,"10,000 IDR",100 INR,100 JPY,1000 KRW,AU 10yr,AU 1yr,CAC40,China 1yr,China 30yr,DAX,Dow Jones,EUR,FED-rate,FTSE100,GBP,Germany 1yr,Germany 30yr,Hang Seng,Hong Kong 10yr,Hong Kong 1yr,Japan 1yr,Japan 30yr,Korea 1yr,Korea 20yr,NASDAQ,Nikkei 225,RBA-rate,S&P500,SGD,Shanghai,Singapore 1yr,Singapore 30yr,Swiss 1yr,Swiss 30yr,UK 1yr,UK 30yr,US 1yr,US 30yr,USD
July 2010,7/1/2010,4238,0.30724,0.56739,0.7609,0.3904,0.739,1.0258,5.1,4.45,3340,1.92,4.09,5857,9733,0.6847,0.41,4806,0.5604,0.56,3.26,19905,2.4,0.54,0.14,1.84,3.11,5.11,2101,9192,4.84,1027,1.1704,2374,0.35,2.98,0.49,1.81,0.71,4.12,0.31,3.9,0.8366
July 2010,7/2/2010,4239,0.31025,0.57224,0.765,0.3943,0.7433,1.03387,5.12,4.47,3348,1.84,4.03,5834,9686,0.6761,0.41,4838,0.5573,0.55,3.29,19905,2.4,0.54,0.14,1.85,3.11,5.11,2092,9204,4.84,1023,1.1776,2383,0.35,2.97,0.47,1.81,0.72,4.12,0.31,3.95,0.8448
July 2010,7/3/2010,4239,0.31025,0.57224,0.765,0.3943,0.7433,1.03387,5.12,4.47,3348,1.84,4.03,5834,9686,0.6761,0.41,4838,0.5573,0.55,3.29,19905,2.4,0.54,0.14,1.85,3.11,5.11,2092,9204,4.84,1023,1.1776,2383,0.35,2.97,0.47,1.81,0.72,4.12,0.31,3.95,0.8448
July 2010,7/4/2010,4239,0.31025,0.57224,0.765,0.3943,0.7433,1.03387,5.12,4.47,3348,1.84,4.03,5834,9686,0.6761,0.41,4838,0.5573,0.55,3.29,19905,2.4,0.54,0.14,1.85,3.11,5.11,2092,9204,4.84,1023,1.1776,2383,0.35,2.97,0.47,1.81,0.72,4.12,0.31,3.95,0.8448
July 2010,7/5/2010,4222,0.31018,0.57217,0.7655,0.3944,0.7429,1.03235,5.07,4.44,3332,1.87,4.03,5816,9686,0.6736,0.41,4824,0.5565,0.46,3.25,19842,2.56,0.58,0.14,1.86,3.11,5.11,2092,9267,4.84,1023,1.1754,2364,0.35,2.99,0.57,1.8,0.69,4.09,0.31,3.95,0.8446
July 2010,7/6/2010,4276,0.30919,0.5705,0.7636,0.3941,0.7389,1.02956,5.05,4.46,3423,1.87,4.05,5941,9744,0.6713,0.41,4965,0.5556,0.55,3.3,20084,2.53,0.58,0.14,1.91,3.07,5.11,2094,9338,4.84,1028,1.1724,2409,0.36,2.99,0.54,1.8,0.68,4.13,0.31,3.89,0.8419
July 2010,7/7/2010,4255,0.31143,0.57477,0.7691,0.3987,0.7419,1.03587,5.04,4.45,3483,1.87,3.96,5993,10018,0.6739,0.41,5015,0.5604,0.58,3.31,19857,2.52,0.56,0.14,1.92,3.1,5.13,2159,9280,4.84,1060,1.1791,2421,0.37,2.95,0.54,1.83,0.72,4.16,0.3,3.96,0.848
July 2010,7/8/2010,4357,0.32043,0.59119,0.7914,0.4091,0.7706,1.0562,5.11,4.57,3538,1.89,4.02,6036,10139,0.6893,0.41,5105,0.5744,0.63,3.32,20051,2.58,0.56,0.14,1.96,3.1,5.13,2175,9536,4.84,1070,1.207,2415,0.35,2.99,0.57,1.84,0.74,4.18,0.29,4.02,0.8725
July 2010,7/9/2010,4396,0.32208,0.59404,0.7946,0.4101,0.7775,1.0499,5.11,4.55,3554,1.87,4,6065,10198,0.6915,0.41,5133,0.5782,0.61,3.3,20379,2.59,0.56,0.14,1.98,3.18,5.13,2196,9585,4.84,1078,1.2088,2471,0.35,3,0.61,1.84,0.7,4.16,0.29,4.04,0.877
July 2010,7/10/2010,4396,0.32208,0.59404,0.7946,0.4101,0.7775,1.0499,5.11,4.55,3554,1.87,4,6065,10198,0.6915,0.41,5133,0.5782,0.61,3.3,20379,2.59,0.56,0.14,1.98,3.18,5.13,2196,9585,4.84,1078,1.2088,2471,0.35,3,0.61,1.84,0.7,4.16,0.29,4.04,0.877
